piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,true_label,predicted_label
"Allemande, BWV 996||J.S. Bach",0.7105439,-0.79897064,0.2736236,0.82459056,0.70780355,-0.23462851,-0.80247945,0.22049482,0.7956744,-0.4029485,0.84713405,0.8049446,0.6085917,0.45153147,0.0708396,0.7223778,-0.0905043,-0.5962077,0.859736,0.7508274,-0.6719115,-0.26181355,-0.6499591,0.7116685,4,5
Alman||Robert Johnson,0.71066886,-0.7846529,0.2736236,0.7438666,0.68261904,-0.5325819,-0.80857956,0.071695425,0.43954852,-0.4029485,0.7103374,0.7318183,0.68450046,-0.61486465,0.06271205,0.6417373,-0.0905043,-0.4093989,0.81901395,0.7346768,-0.7717024,-0.26181355,-0.8047554,0.70739746,3,3
"Andante, Op. 241 no. 5||Ferdinando Carulli",0.7105439,-0.75087976,-0.316343,0.7121488,0.7022868,-0.60722876,-0.81057525,0.030131828,0.039183512,0.060228854,0.8239202,0.6479143,0.66034865,-0.9461687,0.12106966,-0.57350314,-0.5159525,-0.12845947,0.971225,0.7768012,-0.88257456,-0.7743867,-0.96298623,0.7888023,0,1
Andantino in C; Op. 35 no. 2||Fernando Sor,0.7105439,-0.78026783,0.07783385,0.6843658,0.56181,-0.5860739,-0.81057525,0.030131828,0.2551784,-0.31822497,0.6909671,0.6479143,0.71841115,-0.92717564,0.14413974,0.8907854,-0.91058177,-0.6886093,-0.14783487,0.69716054,-0.90377414,-0.7743867,-0.9831643,0.70739746,0,0
"Andantino, Op. 44 no. 9||Fernando Sor",0.7105439,-0.80175084,0.2736236,0.7633759,0.44207358,-0.58770484,-0.80857956,0.030131828,-0.13494177,-0.4029485,0.88995695,0.6796678,0.6443133,-0.8625435,0.04224361,0.92691517,-0.78214186,-0.9571804,0.10626492,0.68565327,-0.9032914,-0.8933351,-0.98277766,0.73455024,0,0
"Andantino, Op. 6 no. 8||Fernando Sor",0.7105439,-0.81279546,0.2736236,0.6761997,0.43710098,-0.5140793,-0.80857956,0.030131828,0.6755422,-0.4029485,0.6622406,0.69952184,0.70094323,-0.68498695,0.05286239,0.9723148,-0.78214186,-0.7905191,-0.31163594,0.62757677,-0.78109854,-0.7743867,-0.81950194,0.70739746,2,1
Be Thou With Me (Bist du bei  mir)||J.S. Bach,0.7105439,-0.77671945,0.07783385,0.76288575,0.6341032,-0.51670164,-0.80857956,0.06258273,0.35806647,-0.4029485,0.7676284,0.7361848,0.6785683,-0.71421134,0.07717413,0.6964206,-0.0905043,-0.09206525,0.46954885,0.7187749,-0.814478,-0.7743867,-0.8710619,0.70739746,6,2
Branle||Jean-Baptiste Besard,0.7110368,-0.7982976,0.2736236,0.76112145,0.43508205,-0.48604682,-0.8065651,0.04765944,0.4640302,-0.4029485,0.72368217,0.7296123,0.67395014,-0.77798325,0.03560187,0.96877444,-0.78214186,0.18605211,-0.036593124,0.62777483,-0.8306213,-0.7743867,-0.89509064,0.70739746,1,1
Branle Gay||Jean Baptiste Besard,0.7105439,-0.75087976,-0.316343,0.74235576,0.7609458,-0.55411,-0.80857956,0.030131828,0.3076895,0.060228854,0.56783277,0.6796678,0.7049987,-0.8450033,-0.000737436,0.9678146,-0.9647948,-0.99616516,0.8874599,0.75286406,-0.9151231,-0.97325075,-0.9910996,0.70739746,0,1
Cancion de la Hilandera||Agustin Barrios Mangore,0.7105439,-0.7607316,0.07783385,0.6394092,0.39707586,0.0692577,-0.8004079,0.403501,0.89404,-0.18140107,0.6466403,0.7840125,0.4939027,0.46588328,0.053627454,0.03727324,-0.0905043,-0.99998146,0.95961314,0.77088714,-0.1531779,-0.4795766,-0.05082254,0.90316105,4,5
"Canzonetta from the String Quartet, Op. 12||Felix Mendelssohn",0.7105439,-0.8116048,0.4490913,0.7696972,0.549218,-0.122359544,-0.7983171,0.35624322,0.80865973,-0.58556956,0.7268999,0.8414451,0.55213255,0.6809985,0.070404276,0.8702282,-0.0905043,-0.44126564,0.5138064,0.70090836,-0.4936125,-0.4795766,-0.40529963,0.7248936,4,5
Choros No. 1||Heitor Villa-Lobos,0.7116635,-0.8185664,0.4490913,0.7202385,0.36749533,-0.410309,-0.8065651,0.11019325,0.75049734,-0.4029485,0.7212183,0.8049446,0.6092125,-0.037975088,0.099338576,0.8296767,-0.5159525,-0.271801,0.3623936,0.63063264,0.47048345,-0.65087426,0.40677,0.7260036,4,5
Cinco Piezas para guitarra: I. Campero||Astor Piazzolla,0.71072364,-0.8225601,0.5956297,0.89963764,0.6999512,0.2312464,-0.79620683,0.56942606,0.8676874,-0.58556956,0.88936347,0.8572566,0.39103186,0.833872,0.09605274,0.39082786,-0.0905043,-0.2965259,0.8603244,0.74181914,0.2844355,-0.6792337,0.28262943,0.70848066,5,6
Cinco Piezas para guitarra: IV. Triston||Astor Piazzolla,0.7146262,-0.8368049,0.4490913,0.65006036,0.09783611,0.20227459,-0.79620683,0.5482723,0.8208347,-0.58556956,0.7295153,0.7981764,0.5285633,0.806578,-0.05771074,0.98420936,-0.91058177,-0.11245489,-0.5834524,0.48825014,0.1877255,-0.4795766,0.2156369,0.8421712,6,5
